,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
Bundesliga,2014,1,Bayern Munich,34,25,4,5,80,18,79,66.20574520000001,-13.79425479999999,61.659256199999994,21.938728599999997,3.9387285999999975,20.4231716,41.2360846,5.7614758836951,25.022717234327683,388,83,73.61159999999998,-5.3884000000000185
Bundesliga,2014,2,Wolfsburg,34,20,9,5,72,38,69,58.347731,-13.652268999999997,55.31662600000001,38.822021000000014,0.8220210000000137,36.41925500000001,18.897370999999996,9.13631936895739,10.289876040555047,172,164,59.950900000000004,-9.049099999999996
Bundesliga,2014,3,Borussia M.Gladbach,34,19,9,6,53,26,66,51.74157190000001,-1.258428099999989,49.468231900000006,36.343299,10.343299000000002,33.31219300000001,16.156038900000002,12.751107875771773,12.783803136490745,221,198,57.00779999999999,-8.992200000000011
Bundesliga,2014,4,Bayer Leverkusen,34,17,10,7,62,37,61,49.155698999999984,-12.844301000000016,48.39791799999998,34.720386000000005,-2.279613999999995,30.173724000000004,18.224194000000004,5.693288707933904,7.347595314513396,246,108,55.33959999999999,-5.66040000000001
Bundesliga,2014,5,Augsburg,34,15,4,15,43,43,49,43.911698,0.9116980000000012,37.72014799999999,46.659608,3.6596079999999986,43.628491000000004,-5.908342999999999,7.625899886027387,10.402359973618788,134,221,45.495999999999995,-3.504000000000005
Bundesliga,2014,6,Schalke 04,34,13,9,12,42,40,48,41.25891579999998,-0.7410842000000173,38.985578799999985,46.961703,6.961703,45.446144000000004,-6.460565200000001,9.746071669337567,9.689741879912727,161,214,45.0723,-2.9277000000000015
Bundesliga,2014,7,Borussia Dortmund,34,13,7,14,47,42,46,53.863501,6.863500999999999,51.590160999999995,33.3963487,-8.603651300000003,31.880955699999994,19.7092053,7.622450445684757,12.6559743877135,292,112,58.0847,12.084699999999998
Bundesliga,2014,8,Hoffenheim,34,12,8,14,49,55,44,49.963057,0.9630569999999992,46.17418,49.99786199999999,-5.002138000000009,46.966764999999995,-0.7925849999999999,7.030917729693938,8.808023630694004,207,206,46.03119999999999,2.0311999999999912
Bundesliga,2014,9,Werder Bremen,34,11,10,13,50,65,43,42.673755,-7.326245,39.56007900000001,52.3792689,-12.6207311,48.5903799,-9.030300899999999,9.028959986050253,5.9829699640699845,182,236,39.377399999999994,-3.6226000000000056
Bundesliga,2014,10,Eintracht Frankfurt,34,11,10,13,56,62,43,47.36971650000002,-8.630283499999983,44.33860450000002,55.039228,-6.960771999999999,52.76588800000001,-8.427283499999998,8.22241461869894,7.948487840765021,185,227,41.715,-1.2849999999999966
Bundesliga,2014,11,FC Cologne,34,9,13,12,34,40,40,32.224092,-1.7759080000000012,29.192985,40.519773999999984,0.519773999999984,37.48865699999999,-8.295672000000003,18.076290506348496,9.735606569605443,137,230,41.8221,1.822099999999999
Bundesliga,2014,12,Mainz 05,34,9,13,12,45,47,40,43.912293000000005,-1.0877069999999947,40.123424,48.108979999999995,1.1089799999999954,43.479679999999995,-3.3562559999999992,10.26083434463899,8.519456535546915,183,196,44.928,4.927999999999997
Bundesliga,2014,13,Hannover 96,34,9,10,15,40,56,37,36.429044,-3.5709560000000025,34.15570999999999,46.284096,-9.715904000000002,44.768539,-10.612829000000001,10.854718801990481,9.148241890408235,179,198,41.250499999999995,4.250499999999995
Bundesliga,2014,14,VfB Stuttgart,34,9,9,16,42,60,36,45.639776,3.6397759999999977,44.882003,48.09999220000002,-11.900007799999983,45.068882200000004,-0.18687920000000013,10.032086009031053,9.610371741570413,143,201,44.259299999999996,8.259299999999996
Bundesliga,2014,15,Hamburger SV,34,9,8,17,25,50,35,32.859179000000005,7.859179000000005,30.585841,55.829406999999996,5.829406999999996,49.76744199999999,-19.181600999999997,8.40563758863915,7.317976731944661,138,185,33.5677,-1.432299999999998
Bundesliga,2014,16,Hertha Berlin,34,9,8,17,36,52,35,32.65643190000001,-3.3435680999999917,29.625333899999998,46.198192500000005,-5.801807499999995,43.92494950000001,-14.299615599999996,11.58538937468333,6.815630553897546,96,196,36.10520000000001,1.1052000000000106
Bundesliga,2014,17,Freiburg,34,7,13,14,36,47,34,38.6880206,2.6880206000000015,31.868181600000007,45.91067699999999,-1.0893230000000074,44.395127,-12.5269454,13.476948602014561,8.307599284306656,229,232,43.02140000000001,9.021400000000007
Bundesliga,2014,18,Paderborn,34,7,10,17,31,65,31,36.079764999999995,5.079764999999995,35.321988,55.770419999999994,-9.229580000000006,50.46600599999999,-15.144017999999999,11.719607902837359,6.6439865920936585,147,233,36.162499999999994,5.162499999999994
Bundesliga,2015,1,Bayern Munich,34,28,4,2,80,17,88,77.04149699999999,-2.9585030000000074,70.221487,20.794377400000002,3.794377400000002,19.2788184,50.94266859999999,6.563204860159041,23.119248575337444,353,103,77.96849999999999,-10.031500000000008
Bundesliga,2015,2,Borussia Dortmund,34,24,6,4,82,34,78,83.41023800000002,1.410238000000021,78.844438,29.177493100000003,-4.822506899999997,26.146554100000003,52.69788389999998,7.6988815256547545,18.386425349878408,387,126,76.5776,-1.4223999999999961
Bundesliga,2015,3,Bayer Leverkusen,34,18,6,10,56,40,60,52.90786900000001,-3.0921309999999878,50.634696999999996,41.235820600000004,1.2358206000000038,35.931560600000005,14.703136400000004,6.165958339644739,8.52166244061262,243,165,56.6645,-3.3355000000000032
Bundesliga,2015,4,Borussia M.Gladbach,34,17,4,13,67,50,55,53.668954,-13.331046,50.637842,49.069220800000004,-0.9307791999999964,43.00708180000001,7.630760199999999,8.310616036010481,11.97225577364158,243,186,50.0596,-4.940399999999997
Bundesliga,2015,5,Schalke 04,34,15,7,12,51,49,52,47.129821,-3.8701790000000003,43.340943,47.88331989999999,-1.1166801000000106,45.60999589999999,-2.269052900000001,9.777486732810322,10.325189940495079,228,197,45.624199999999995,-6.375800000000005
Bundesliga,2015,6,Mainz 05,34,14,8,12,46,42,50,47.914203000000015,1.9142030000000148,47.15651300000001,47.268916000000004,5.268916000000004,41.945336,5.211177,9.405914423665628,8.292618936319146,194,195,46.666100000000014,-3.3338999999999857
Bundesliga,2015,7,Hertha Berlin,34,14,8,12,42,42,50,35.895022,-6.104978000000003,33.621688000000006,43.94092599999999,1.9409259999999904,40.909831,-7.288143000000001,13.359182816591154,10.428040443812073,147,181,44.15979999999999,-5.84020000000001
Bundesliga,2015,8,Wolfsburg,34,12,9,13,47,49,45,49.489405000000005,2.489405000000005,47.21608100000001,41.618975,-7.381025000000001,40.103418999999995,7.112662,10.501648122098597,13.29592171496149,177,195,52.38249999999999,7.382499999999993
